frame,time_sec,velocity,velocity_sem,displacement,displacement_sem
71,2130,0.09756816100898597,0.020771366939648886,92.62035019166751,25.544975277211044
72,2160,0.12177697137512139,0.03071721667751807,93.44547832476103,26.12059244920884
73,2190,0.08195989128808089,0.024630824865254447,95.22066685571093,26.682151607912736
74,2220,0.11008482664865617,0.026599311736272616,96.6589492836419,27.12957974123099
75,2250,0.15467918815171863,0.030070350484506816,97.66307330650271,27.713262904333778
76,2280,0.1174088224687695,0.025645376781911727,93.14924486750071,29.86749836546187
77,2310,0.14854907609315982,0.03171112645438623,94.42519207410263,30.403009301206772
78,2340,0.14750938012041023,0.030954296599706242,96.82329093290454,30.93990268243098
79,2370,0.11586421364829366,0.02005832096024854,104.97425744216247,29.86045220964156
80,2400,0.08292658580625972,0.017281209709717683,107.31839798704684,30.3237423923018
81,2430,0.107442446433478,0.019366330691998033,109.3763684795062,30.578887740360443
